# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
그동안	그동안/NNG
만들어	만들/VV+어/EC
관심을	관심/NNG+을/JKO
훨씬	훨씬/MAG
문제는	문제/NNG+는/JX
동시에	동시/NNG+에/JKB
첫	첫/MM
나라의	나라/NNG+의/JKG
쉽게	쉽/VA+게/EC
국민의	국민/NNG+의/JKG
사이에	사이/NNG+에/JKB
때,	때/NNG+,/SP
과연	과연/MAG
많다.	많/VA+다/EF+./SF
이처럼	이/NP+처럼/JKB
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF
사회의	사회/NNG+의/JKG
그러한	그러/XR+하/XSA+ㄴ/ETM
받아	받/VV+아/EC
북한의	북한/NNP+의/JKG
사회적	사회/NNG+적/XSN
손을	손/NNG+을/JKO
모른다.	모르/VV+ㄴ다/EF+./SF
달리	달리/MAG
사람	사람/NNG
마음을	마음/NNG+을/JKO
정치적	정치/NNG+적/XSN
몸을	몸/NNG+을/JKO
사회	사회/NNG
역할을	역할/NNG+을/JKO
실제로	실제로/MAG
듯	듯/NNB
눈을	눈/NNG+을/JKO
되지	되/VV+지/EC
앞에서	앞/NNG+에서/JKB
거야.	거/NNB+이/VCP+야/EF+./SF
예를	예/NNG+를/JKO
같았다.	같/VA+았/EP+다/EF+./SF
위하여	위하/VV+아/EC
지금까지	지금/NNG+까지/JX
대신	대신/NNG
학교	학교/NNG
집	집/NNG
보였다.	보이/VV+었/EP+다/EF+./SF
이른바	이른바/MAJ
말할	말/NNG+하/XSV+ㄹ/ETM
나온	나오/VV+ㄴ/ETM
만든	만들/VV+ㄴ/ETM
중국	중국/NNP
기자>	기자/NNG+>/SS
혹은	혹은/MAJ
통한	통하/VV+ㄴ/ETM
뿐만	뿐/NNB+만/JX
가능성이	가능/XR+성/XSN+이/JKS
젊은	젊/VA+은/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF
아무	아무/MM
그냥	그냥/MAG
앉아	앉/VV+아/EC
이야기를	이야기/NNG+를/JKO
것이라는	것/NNB+이/VCP+라는/ETM
그를	그/NP+를/JKO
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF
일단	일단/MAG
깊은	깊/VA+은/ETM
그때	그때/NNG
아버지는	아버지/NNG+는/JX
갑자기	갑자기/MAG
삶의	삶/NNG+의/JKG
살고	살/VV+고/EC
대하여	대하/VV+아/EC
항상	항상/MAG
언제나	언제나/MAG
북한	북한/NNP
때마다	때/NNG+마다/JX
보이는	보이/VV+는/ETM
힘을	힘/NNG+을/JKO
만한	만/NNB+하/XSA+ㄴ/ETM
반면	반면/NNG
뒤에	뒤/NNG+에/JKB
아니라,	아니/VCN+라/EC+,/SP
됐다.	되/VV+었/EP+다/EF+./SF
없고	없/VA+고/EC
경우에는	경우/NNG+에/JKB+는/JX
아니면	아니/VCN+면/EC
없다고	없/VA+다고/EC
사람들의	사람/NNG+들/XSN+의/JKG
의미를	의미/NNG+를/JKO
조금	조금/MAG
경우는	경우/NNG+는/JX
타고	타/VV+고/EC
흔히	흔히/MAG
너무나	너무나/MAG
:	:/SP
듣고	듣/VV+고/EC
안에	안/NNG+에/JKB
올해	올해/NNG
아하스	아하스/NNP
받는	받/VV+는/ETM
그들이	그/NP+들/XSN+이/JKS
비록	비록/MAG
등은	등/NNB+은/JX
학문의	학문/NNG+의/JKG
여기서	여기/NP+서/JKB
이름을	이름/NNG+을/JKO
않아	않/VX+아/EC
쓰는	쓰/VV+는/ETM
여전히	여전히/MAG
대상으로	대상/NNG+으로/JKB
먹고	먹/VV+고/EC
다만	다만/MAJ
완전히	완전히/MAG
컴퓨터	컴퓨터/NNG
듯한	듯/NNB+하/XSA+ㄴ/ETM
이제는	이제/NNG+는/JX
셈이다.	셈/NNB+이/VCP+다/EF+./SF
새로	새로/MAG
찾아	찾/VV+아/EC
정보를	정보/NNG+를/JKO
자신을	자신/NNG+을/JKO
책을	책/NNG+을/JKO
경우도	경우/NNG+도/JX
그에	그/NP+에/JKB
눈에	눈/NNG+에/JKB
정부	정부/NNG
과정에서	과정/NNG+에서/JKB
아는	알/VV+는/ETM
받을	받/VV+을/ETM
비롯한	비롯/XR+하/XSV+ㄴ/ETM
보여	보이/VV+어/EC
싶은	싶/VX+은/ETM
나타났다.	나타나/VV+았/EP+다/EF+./SF
그러므로	그러므로/MAJ
하루	하루/NNG
집을	집/NNG+을/JKO
년	년/NNB
대해서	대하/VV+아서/EC
아닐	아니/VCN+ㄹ/ETM
관계를	관계/NNG+를/JKO
된다는	되/VV+ㄴ다는/ETM
방법을	방법/NNG+을/JKO
고개를	고개/NNG+를/JKO
거쳐	거치/VV+어/EC
대체로	대체로/MAG
중에	중/NNB+에/JKB
더구나	더구나/MAJ
통해서	통하/VV+아서/EC
보이고	보이/VV+고/EC
모르는	모르/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF
그렇지	그렇/VA+지/EC
경제	경제/NNG
뜻을	뜻/NNG+을/JKO
살아	살/VV+아/EC
관련	관련/NNG
마을	마을/NNG
실제	실제/NNG
관련된	관련/NNG+되/XSV+ㄴ/ETM
없게	없/VA+게/EC
충분히	충분히/MAG
프랑스	프랑스/NNP
얼굴을	얼굴/NNG+을/JKO
향해	향하/VV+아/EC
생활을	생활/NNG+을/JKO
아울러	아울러/MAG
없어	없/VA+어/EC
결과	결과/NNG
빨리	빨리/MAG
주요	주요/XR
기능을	기능/NNG+을/JKO
어렵다.	어렵/VA+다/EF+./SF
겨우	겨우/MAG
오랜	오랜/MM
내용을	내용/NNG+을/JKO
나에게	나/NP+에게/JKB
자리를	자리/NNG+를/JKO
보이지	보이/VV+지/EC
커다란	커다랗/VA+ㄴ/ETM
정도의	정도/NNG+의/JKG
머리를	머리/NNG+를/JKO
엄청난	엄청나/VA+ㄴ/ETM
비슷한	비슷/XR+하/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
교육을	교육/NNG+을/JKO
심각한	심각/XR+하/XSA+ㄴ/ETM
말하는	말/NNG+하/XSV+는/ETM
긴	길/VA+ㄴ/ETM
전체	전체/NNG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
소리를	소리/NNG+를/JKO
북한이	북한/NNP+이/JKS
그만큼	그만큼/MAG
오늘의	오늘/NNG+의/JKG
아래	아래/NNG
쓰고	쓰/VV+고/EC
미	미/NNP
여기에	여기/NP+에/JKB
가까운	가깝/VA+ㄴ/ETM
대부분	대부분/NNG
결과를	결과/NNG+를/JKO
아무런	아무런/MM
것에	것/NNB+에/JKB
혼자	혼자/NNG
때까지	때/NNG+까지/JX
강한	강하/VA+ㄴ/ETM
말해	말/NNG+하/XSV+아/EC
분명히	분명히/MAG
오후	오후/NNG
어머니의	어머니/NNG+의/JKG
후에	후/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
무엇을	무엇/NP+을/JKO
대부분의	대부분/NNG+의/JKG
그렇다고	그렇/VA+다고/EC
대학	대학/NNG
전국	전국/NNG
통하여	통하/VV+아/EC
중에서	중/NNB+에서/JKB
인터넷	인터넷/NNG
다음에	다음/NNG+에/JKB
4월	4/SN+월/NNB
속으로	속/NNG+으로/JKB
그렇다면	그렇/VA+다면/EC
나오는	나오/VV+는/ETM
사실상	사실/NNG+상/XSN
널리	널리/MAG
끝에	끝/NNG+에/JKB
삶을	삶/NNG+을/JKO
이유는	이유/NNG+는/JX
교육	교육/NNG
데서	데/NNB+서/JKB
따로	따로/MAG
일도	일/NNG+도/JX
책임을	책임/NNG+을/JKO
대학의	대학/NNG+의/JKG
갖는	갖/VV+는/ETM
만드는	만들/VV+는/ETM
죽은	죽/VV+은/ETM
받았다.	받/VV+았/EP+다/EF+./SF
작업을	작업/NNG+을/JKO
오래	오래/MAG
과정을	과정/NNG+을/JKO
계기로	계기/NNG+로/JKB
곳에	곳/NNG+에/JKB
술을	술/NNG+을/JKO
다소	다소/MAG
지역	지역/NNG
바탕으로	바탕/NNG+으로/JKB
생각하는	생각/NNG+하/XSV+는/ETM
생활	생활/NNG
12월	12/SN+월/NNB
따르면	따르/VV+면/EC
걸쳐	걸치/VV+어/EC
열심히	열심히/MAG
옷을	옷/NNG+을/JKO
비로소	비로소/MAG
참으로	참으로/MAG
지금은	지금/NNG+은/JX
벌써	벌써/MAG
얼마	얼마/NNG
마지막	마지막/NNG
학문을	학문/NNG+을/JKO
가능한	가능/XR+하/XSA+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
자기가	자기/NP+가/JKS
안된다.	안/MAG+되/XSV+ㄴ다/EF+./SF
과거	과거/NNG
때도	때/NNG+도/JX
일반	일반/NNG
싶다.	싶/VX+다/EF+./SF
말았다.	말/VX+았/EP+다/EF+./SF
자기의	자기/NP+의/JKG
형의	형/NNG+의/JKG
이것을	이것/NP+을/JKO
나머지	나머지/NNG
대개	대개/MAG
때에는	때/NNG+에/JKB+는/JX
없었던	없/VA+었/EP+던/ETM
아버지의	아버지/NNG+의/JKG
대폭	대폭/MAG
집으로	집/NNG+으로/JKB
3월	3/SN+월/NNB
만약	만약/MAG
미리	미리/MAG
때의	때/NNG+의/JKG
집에서	집/NNG+에서/JKB
아침	아침/NNG
누구나	누구/NP+나/JX
기업의	기업/NNG+의/JKG
마찬가지로	마찬가지/NNG+로/JKB
나누어	나누/VV+어/EC
이때	이때/NNG
우리에게	우리/NP+에게/JKB
사실은	사실/NNG+은/JX
의하여	의하/VV+아/EC
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF
것.	것/NNB+./SF
적극	적극/NNG
유럽	유럽/NNP
대통령의	대통령/NNG+의/JKG
사람도	사람/NNG+도/JX
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF
문을	문/NNG+을/JKO
더불어	더불/VV+어/EC
그리하여	그리/MAG+하/XSV+아/EC
생각해	생각/NNG+하/XSV+아/EC
사이의	사이/NNG+의/JKG
오늘날	오늘날/NNG
좋다.	좋/VA+다/EF+./SF
얘기를	얘기/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
상당히	상당히/MAG
맞는	맞/VV+는/ETM
무엇보다	무엇/NP+보다/JKB
들어가	들어가/VV+아/EC
나왔다.	나오/VV+았/EP+다/EF+./SF
당연한	당연/XR+하/XSA+ㄴ/ETM
앞두고	앞두/VV+고/EC
그런데도	그런데/MAJ+도/JX
요즘	요즘/NNG
점차	점차/MAG
문제에	문제/NNG+에/JKB
생각할	생각/NNG+하/XSV+ㄹ/ETM
글을	글/NNG+을/JKO
경제적	경제/NNG+적/XSN
없고,	없/VA+고/EC+,/SP
정치	정치/NNG
노력을	노력/NNG+을/JKO
맞아	맞/VV+아/EC
세상을	세상/NNG+을/JKO
당장	당장/NNG
점점	점점/MAG
그녀를	그녀/NP+를/JKO
변화를	변화/NNG+를/JKO
지금도	지금/NNG+도/JX
아니고	아니/VCN+고/EC
쓸	쓰/VV+ㄹ/ETM
차원에서	차원/NNG+에서/JKB
순간	순간/NNG
그것도	그것/NP+도/JX
중국의	중국/NNP+의/JKG
하나는	하나/NR+는/JX
하나로	하나/NR+로/JKB
수많은	수많/VA+은/ETM
모여	모이/VV+어/EC
지닌	지니/VV+ㄴ/ETM
무엇보다도	무엇/NP+보다/JKB+도/JX
없지	없/VA+지/EC
입고	입/VV+고/EC
평균	평균/NNG
많았다.	많/VA+았/EP+다/EF+./SF
지니고	지니/VV+고/EC
[사설]	[/SS+사설/NNG+]/SS
그저	그저/MAG
어떠한	어떠/XR+하/XSA+ㄴ/ETM
운동을	운동/NNG+을/JKO
빠져	빠지/VV+어/EC
이르기까지	이르/VV+기/ETN+까지/JX
강력한	강력/XR+하/XSA+ㄴ/ETM
개인의	개인/NNG+의/JKG
데리고	데리/VV+고/EC
새롭게	새롭/VA+게/EC
우리를	우리/NP+를/JKO
신애	신애/NNG
9월	9/SN+월/NNB
학교에	학교/NNG+에/JKB
쪽으로	쪽/NNB+으로/JKB
찾는	찾/VV+는/ETM
오직	오직/MAG
인해	인하/VV+아/EC
하여금	하여금/MAG
노래를	노래/NNG+를/JKO
사랑을	사랑/NNG+을/JKO
역사적	역사/NNG+적/XSN
이론을	이론/NNG+을/JKO
열린	열리/VV+ㄴ/ETM
손에	손/NNG+에/JKB
돼	되/VV+어/EC
일종의	일종/NNG+의/JKG
어쩔	어쩌/VV+ㄹ/ETM
약간	약간/MAG
문제의	문제/NNG+의/JKG
자리에	자리/NNG+에/JKB
좀더	좀/MAG+더/MAG
시간	시간/NNG
능력을	능력/NNG+을/JKO
계획이다.	계획/NNG+이/VCP+다/EF+./SF
이해할	이해/NNG+하/XSV+ㄹ/ETM
기존	기존/NNG
데는	데/NNB+는/JX
온갖	온갖/MM
알려진	알리/VV+어/EC+지/VX+ㄴ/ETM
이유로	이유/NNG+로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF
당시의	당시/NNG+의/JKG
1년	1/SN+년/NNB
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
않고,	않/VX+고/EC+,/SP
나올	나오/VV+ㄹ/ETM
잡고	잡/VV+고/EC
민족의	민족/NNG+의/JKG
밖으로	밖/NNG+으로/JKB
며칠	며칠/NNG
듯이	듯이/NNB
구체적으로	구체/NNG+적/XSN+으로/JKB
아름다운	아름답/VA+ㄴ/ETM
아무도	아무/NP+도/JX
대해서도	대하/VV+아서/EC+도/JX
아예	아예/MAG
사람들을	사람/NNG+들/XSN+을/JKO
금융기관의	금융/NNG+기관/NNG+의/JKG
것}이라고	것/NNB+}/SS+이/VCP+라고/EC
안에서	안/NNG+에서/JKB
인한	인하/VV+ㄴ/ETM
①	①/SW
말도	말/NNG+도/JX
데다	데/NNB+다/JX
진정한	진정/XR+하/XSA+ㄴ/ETM
속의	속/NNG+의/JKG
기존의	기존/NNG+의/JKG
나타난	나타나/VV+ㄴ/ETM
언제	언제/MAG
단순한	단순/XR+하/XSA+ㄴ/ETM
필요하다.	필요/NNG+하/XSA+다/EF+./SF
나아가	나아가/VV+아/EC
때에	때/NNG+에/JKB
교육의	교육/NNG+의/JKG
기본	기본/NNG
각기	각기/MAG
만나	만나/VV+아/EC
넘는	넘/VV+는/ETM
알게	알/VV+게/EC
것이며	것/NNB+이/VCP+며/EC
그리	그리/MAG
지방	지방/NNG
없기	없/VA+기/ETN
②	②/SW
국제	국제/NNG
시대의	시대/NNG+의/JKG
마침내	마침내/MAG
철저히	철저히/MAG
위에서	위/NNG+에서/JKB
받지	받/VV+지/EC
최고	최고/NNG
안고	안/VV+고/EC
10월	10/SN+월/NNB
사건의	사건/NNG+의/JKG
갖게	갖/VV+게/EC
훌륭한	훌륭/XR+하/XSA+ㄴ/ETM
짧은	짧/VA+은/ETM
지나지	지나/VV+지/EC
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF
내용은	내용/NNG+은/JX
네덜란드	네덜란드/NNP
더이상	더/MAG+이상/NNG
바와	바/NNB+와/JKB
차례	차례/NNG
자꾸	자꾸/MAG
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
잠시	잠시/MAG
방향으로	방향/NNG+으로/JKB
대통령	대통령/NNG
사회에	사회/NNG+에/JKB
아이를	아이/NNG+를/JKO
오랫동안	오랫동안/NNG
지어	짓/VV+어/EC
지식을	지식/NNG+을/JKO
제사를	제사/NNG+를/JKO
그걸	그것/NP+ㄹ/JKO
모아	모으/VV+아/EC
옆에	옆/NNG+에/JKB
주장을	주장/NNG+을/JKO
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF
거기에	거기/NP+에/JKB
이번에	이번/NNG+에/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
만일	만일/NNG
문제	문제/NNG
자리에서	자리/NNG+에서/JKB
옛	옛/MM
아이들은	아이/NNG+들/XSN+은/JX
모르고	모르/VV+고/EC
미국은	미국/NNP+은/JX
원하는	원하/VV+는/ETM
벗어나	벗어나/VV+아/EC
여자는	여자/NNG+는/JX
가까이	가까이/MAG
북한은	북한/NNP+은/JX
효과를	효과/NNG+를/JKO
전화를	전화/NNG+를/JKO
음식을	음식/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
바란다.	바라/VV+ㄴ다/EF+./SF
일반적으로	일반/NNG+적/XSN+으로/JKB
○	○/SW
상황에서	상황/NNG+에서/JKB
상황을	상황/NNG+을/JKO
세상에	세상/NNG+에/JKB
되기	되/VV+기/ETN
기회를	기회/NNG+를/JKO
원래	원래/NNG
7월	7/SN+월/NNB
아침에	아침/NNG+에/JKB
그날	그날/NNG
빠른	빠르/VA+ㄴ/ETM
아마	아마/MAG
지금의	지금/NNG+의/JKG
중에는	중/NNB+에/JKB+는/JX
것이며,	것/NNB+이/VCP+며/EC+,/SP
11월	11/SN+월/NNB
인사를	인사/NNG+를/JKO
국민들의	국민/NNG+들/XSN+의/JKG
게다가	게다가/MAG
저녁	저녁/NNG
소위	소위/MAG
현재의	현재/NNG+의/JKG
검찰의	검찰/NNG+의/JKG
1월	1/SN+월/NNB
사랑의	사랑/NNG+의/JKG
부르는	부르/VV+는/ETM
끝난	끝나/VV+ㄴ/ETM
오전	오전/NNG
생긴	생기/VV+ㄴ/ETM
특별한	특별/XR+하/XSA+ㄴ/ETM
문화의	문화/NNG+의/JKG
성격을	성격/NNG+을/JKO
태도를	태도/NNG+를/JKO
과거의	과거/NNG+의/JKG
여자	여자/NNG
학생들이	학생/NNG+들/XSN+이/JKS
시대에	시대/NNG+에/JKB
필재는	필재/NNP+는/JX
생각된다.	생각/NNG+되/XSV+ㄴ다/EF+./SF
정확한	정확/XR+하/XSA+ㄴ/ETM
밤	밤/NNG
10.	10/SN+./SF
한마디로	한마디/NNG+로/JKB
다르다.	다르/VA+다/EF+./SF
아무것도	아무것/NNG+도/JX
불러	부르/VV+어/EC
옛날	옛날/NNG
생각하고	생각/NNG+하/XSV+고/EC
현실을	현실/NNG+을/JKO
의하면	의하/VV+면/EC
너	너/NP
의해서	의하/VV+아서/EC
5월	5/SN+월/NNB
8월	8/SN+월/NNB
상대적으로	상대/NNG+적/XSN+으로/JKB
좋아하는	좋아하/VV+는/ETM
적극적으로	적극/NNG+적/XSN+으로/JKB
마음	마음/NNG
끌고	끌/VV+고/EC
단순히	단순히/MAG
검찰은	검찰/NNG+은/JX
사용하는	사용/NNG+하/XSV+는/ETM
때로는	때로/MAG+는/JX
어쨌든	어쨌든/MAG
불을	불/NNG+을/JKO
그러자	그러자/MAJ
세계의	세계/NNG+의/JKG
세계를	세계/NNG+를/JKO
나라를	나라/NNG+를/JKO
활동을	활동/NNG+을/JKO
정신을	정신/NNG+을/JKO
교회	교회/NNG
로마	로마/NNP
밥을	밥/NNG+을/JKO
않아도	않/VX+아도/EC
않는다는	않/VX+는다는/ETM
시간에	시간/NNG+에/JKB
자세를	자세/NNG+를/JKO
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
열어	열/VV+어/EC
아닌가	아니/VCN+ㄴ가/EC
물	물/NNG
국회	국회/NNG
사회를	사회/NNG+를/JKO
열고	열/VV+고/EC
말하고	말/NNG+하/XSV+고/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
발전을	발전/NNG+을/JKO
것,	것/NNB+,/SP
뒤를	뒤/NNG+를/JKO
땅에	땅/NNG+에/JKB
차를	차/NNG+를/JKO
안될	안/MAG+되/XSV+ㄹ/ETM
행동을	행동/NNG+을/JKO
철저한	철저/XR+하/XSA+ㄴ/ETM
공부를	공부/NNG+를/JKO
예정이다.	예정/NNG+이/VCP+다/EF+./SF
이루어진	이루어지/VV+ㄴ/ETM
가슴이	가슴/NNG+이/JKS
국가	국가/NNG
유명한	유명/XR+하/XSA+ㄴ/ETM
도대체	도대체/MAG
서서	서/VV+어서/EC
학생들의	학생/NNG+들/XSN+의/JKG
왜냐하면	왜냐하면/MAJ
경우에	경우/NNG+에/JKB
이번에는	이번/NNG+에/JKB+는/JX
생각은	생각/NNG+은/JX
일어나	일어나/VV+아/EC
넓은	넓/VA+은/ETM
땅을	땅/NNG+을/JKO
형태로	형태/NNG+로/JKB
여기	여기/NP
차지하는	차지/NNG+하/XSV+는/ETM
학문	학문/NNG
가능성을	가능/XR+성/XSN+을/JKO
LG	LG/SL
둘러싼	둘러싸/VV+ㄴ/ETM
얼마든지	얼마/NNG+이/VCP+든지/EC
여자의	여자/NNG+의/JKG
믿고	믿/VV+고/EC
받게	받/VV+게/EC
방법으로	방법/NNG+으로/JKB
가난한	가난/NNG+하/XSA+ㄴ/ETM
떠나	떠나/VV+아/EC
찾을	찾/VV+을/ETM
일찍	일찍/MAG
쉬운	쉽/VA+ㄴ/ETM
말하면	말/NNG+하/XSV+면/EC
크다.	크/VA+다/EF+./SF
자료를	자료/NNG+를/JKO
된다고	되/VV+ㄴ다고/EC
그들	그/NP+들/XSN
올림픽	올림픽/NNG
곳에서	곳/NNG+에서/JKB
성과를	성과/NNG+를/JKO
알려져	알리/VV+어/EC+지/VX+어/EC
유일한	유일/NNG+하/XSA+ㄴ/ETM
손으로	손/NNG+으로/JKB
역사를	역사/NNG+를/JKO
이르는	이르/VV+는/ETM
몹시	몹시/MAG
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
서양	서양/NNG
때부터	때/NNG+부터/JX
것이라	것/NNB+이/VCP+라/EC
것인지	것/NNB+이/VCP+ㄴ지/EC
끝나면	끝나/VV+면/EC
컴퓨터를	컴퓨터/NNG+를/JKO
눈물을	눈물/NNG+을/JKO
경우,	경우/NNG+,/SP
제도를	제도/NNG+를/JKO
역사의	역사/NNG+의/JKG
사진을	사진/NNG+을/JKO
충격을	충격/NNG+을/JKO
나중에	나중/NNG+에/JKB
③	③/SW
싶었다.	싶/VX+었/EP+다/EF+./SF
거기서	거기/NP+서/JKB
